Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label
4.980748653411865,47486.43556586271,69.26669543215584,345,236518,69.26669543215584,334,11,512,345,ATTACK
1.7314021587371826,123.59924522450824,1.7326996994089945,3,214,1.7326996994089945,2,3,65535,0,ATTACK
2.344194173812866,591.2479501412848,8.958302274867952,21,1386,8.958302274867952,0,21,53248,0,ATTACK
3.055126428604126,56.95345317656784,0.9819560892511696,3,174,0.9819560892511696,3,3,65535,0,ATTACK
4.565717697143555,202.3778212520851,3.0663306250315925,14,924,3.0663306250315925,0,14,53248,0,ATTACK
3.0929043292999268,277.4091626022609,4.203169130337286,13,858,4.203169130337286,0,13,53248,0,ATTACK
2.1259334087371826,3073.4735025784444,46.56778034209764,99,6534,46.56778034209764,0,99,53248,0,ATTACK
4.605253219604492,530.2640014678115,8.034303052542597,37,2442,8.034303052542597,0,37,53248,0,ATTACK
4.68127179145813,211.48099151312752,3.2042574471685987,15,990,3.2042574471685987,0,15,53248,0,ATTACK
3.063366651535034,56.800252726133735,0.9793147021747196,3,174,0.9793147021747196,3,3,65535,0,ATTACK
4.047212362289429,407.6880213586389,6.17709123270665,25,1650,6.17709123270665,0,25,53248,0,ATTACK
2.991011381149292,58.17430220982333,1.0030052105141951,3,174,1.0030052105141951,3,3,65535,0,ATTACK
4.991446018218994,3846.580716273234,64.10967860455389,320,19200,64.10967860455389,320,0,512,320,ATTACK
3.0758209228515625,56.57026347251919,0.975349370215848,3,174,0.975349370215848,3,3,65535,0,ATTACK
4.903651475906372,61857.16939516677,8.768975570812167,43,303326,8.768975570812167,0,43,502,43,ATTACK
3.487663984298706,1313.1999013147304,10.895545032742303,38,4580,10.895545032742303,0,38,547,38,ATTACK
2.594313144683838,254.4025964454004,3.854584794627278,10,660,3.854584794627278,0,10,53248,0,ATTACK
4.695098638534546,253.0298277973567,3.83378526965692,18,1188,3.83378526965692,0,18,53248,0,ATTACK
3.461632490158081,266.9260826003525,4.044334584853827,14,924,4.044334584853827,0,14,53248,0,ATTACK
2.4968762397766118,138.57314771474444,2.0025021346061336,5,346,2.0025021346061336,2,5,65535,0,ATTACK
3.199655532836914,292.5314898413809,4.375471001900997,14,936,4.375471001900997,0,14,53248,0,ATTACK
4.883466005325317,488.99695367919753,7.371813372048204,36,2388,7.371813372048204,0,36,53248,0,ATTACK
4.989459276199341,59254.91794477733,62.531826141621934,312,295650,62.531826141621934,297,15,512,312,ATTACK
4.982433319091797,7273.554441990177,121.22590736650297,604,36240,121.22590736650297,604,0,512,604,ATTACK
2.992810010910034,264.6342390973137,4.009609683292632,12,792,4.009609683292632,0,12,53248,0,ATTACK
2.17750096321106,137.7726141427758,2.2962102357129304,5,300,2.2962102357129304,0,5,255,5,ATTACK
0.1661276817321777,1240.0100805120624,18.05839923075819,3,206,18.05839923075819,1,3,65535,0,ATTACK
3.823026418685913,276.2209528133416,4.185165951717297,16,1056,4.185165951717297,0,16,53248,0,ATTACK
4.642263174057007,184.82364481076357,2.8003582547085384,13,858,2.8003582547085384,0,13,53248,0,ATTACK
4.668466806411743,353.4350930232309,5.355077167018649,25,1650,5.355077167018649,0,25,53248,0,ATTACK
